name,major,number,id,password,email
김정필,Electrical and Electronic,2001,kim.jeongpil,pass2001,kim.jeongpil@university.edu
김준성,Electrical and Electronic,2002,kim.junseong,pass2002,kim.junseong@university.edu
남궁석,Electrical and Electronic,2003,namgung.seok,pass2003,namgung.seok@university.edu
문운철,Electrical and Electronic,2004,moon.wooncheol,pass2004,moon.wooncheol@university.edu
박호현,Electrical and Electronic,2005,park.hohyun,pass2005,park.hohyun@university.edu
백광현,Electrical and Electronic,2006,baek.gwanghyun,pass2006,baek.gwanghyun@university.edu
심용,Electrical and Electronic,2007,sim.yong,pass2007,sim.yong@university.edu
이민혁,Electrical and Electronic,2008,lee.minhyuk,pass2008,lee.minhyuk@university.edu
이한림,Electrical and Electronic,2009,lee.hanlim,pass2009,lee.hanlim@university.edu
임성준,Electrical and Electronic,2010,lim.seongjun,pass2010,lim.seongjun@university.edu
김시준,전자전기공학,2022,2022,2022@,sdfs@sdfds.ac
